Year,Category,Nominee,Additional Info,Won?,,,,,,
2010 (83rd),Documentary (Short Subject),Sun Come Up,Jennifer Redfearn and Tim Metzger,NO,,,,,,
2010 (83rd),Documentary (Short Subject),The Warriors of Qiugang,Ruby Yang and Thomas Lennon,NO,,,,,,
2010 (83rd),Film Editing,Black Swan,Andrew Weisblum,NO,,,,,,
2010 (83rd),Film Editing,The Fighter,Pamela Martin,NO,,,,,,
2010 (83rd),Film Editing,The King's Speech,Tariq Anwar,NO,,,,,,
2010 (83rd),Film Editing,127 Hours,Jon Harris,NO,,,,,,
2010 (83rd),Film Editing,The Social Network,Angus Wall and Kirk Baxter,YES,,,,,,
2010 (83rd),Foreign Language Film,Biutiful,Mexico,NO,,,,,,
2010 (83rd),Foreign Language Film,Dogtooth,Greece,NO,,,,,,
2010 (83rd),Foreign Language Film,In a Better World,Denmark,YES,,,,,,
2010 (83rd),Foreign Language Film,Incendies,Canada,NO,,,,,,
2010 (83rd),Foreign Language Film,Outside the Law (Hors-la-loi),Algeria,NO,,,,,,
2010 (83rd),Makeup,Barney's Version,Adrien Morot,NO,,,,,,
2010 (83rd),Makeup,The Way Back,"Edouard F. Henriques, Gregory Funk and Yolanda Toussieng",NO,,,,,,
2010 (83rd),Makeup,The Wolfman,Rick Baker and Dave Elsey,YES,,,,,,
2010 (83rd),Music (Scoring),How to Train Your Dragon,John Powell,NO,,,,,,
2010 (83rd),Music (Scoring),Inception,Hans Zimmer,NO,,,,,,
2010 (83rd),Music (Scoring),The King's Speech,Alexandre Desplat,NO,,,,,,
2010 (83rd),Music (Scoring),127 Hours,A.R. Rahman,NO,,,,,,
2010 (83rd),Music (Scoring),The Social Network,Trent Reznor and Atticus Ross,YES,,,,,,
2010 (83rd),Music (Song),Country Strong,"Music and Lyric by Tom Douglas, Troy Verges and Hillary Lindsey",NO,,,,,,
2010 (83rd),Music (Song),Tangled,Music by Alan Menken; Lyric by Glenn Slater,NO,,,,,,
2010 (83rd),Music (Song),127 Hours,Music by A.R. Rahman; Lyric by Dido and Rollo Armstrong,NO,,,,,,
2010 (83rd),Music (Song),Toy Story 3,Music and Lyric by Randy Newman,YES,,,,,,
2010 (83rd),Best Picture,Black Swan,"Mike Medavoy, Brian Oliver and Scott Franklin, Producers",NO,,,,,,
2010 (83rd),Best Picture,The Fighter,"David Hoberman, Todd Lieberman and Mark Wahlberg, Producers",NO,,,,,,
2010 (83rd),Best Picture,Inception,"Emma Thomas and Christopher Nolan, Producers",NO,,,,,,
2010 (83rd),Best Picture,The Kids Are All Right,"Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers",NO,,,,,,
2010 (83rd),Best Picture,The King's Speech,"Iain Canning, Emile Sherman and Gareth Unwin, Producers",YES,,,,,,
2010 (83rd),Best Picture,127 Hours,"Christian Colson, Danny Boyle and John Smithson, Producers",NO,,,,,,
2010 (83rd),Best Picture,The Social Network,"Scott Rudin, Dana Brunetti, Michael De Luca and Ceán Chaffin, Producers",NO,,,,,,
2010 (83rd),Best Picture,Toy Story 3,"Darla K. Anderson, Producer",NO,,,,,,
2010 (83rd),Best Picture,True Grit,"Scott Rudin, Ethan Coen and Joel Coen, Producers",NO,,,,,,
2010 (83rd),Best Picture,Winter's Bone,"Anne Rosellini and Alix Madigan-Yorkin, Producers",NO,,,,,,
2010 (83rd),Short Film (Animated),Day & Night,Teddy Newton,NO,,,,,,
2010 (83rd),Short Film (Animated),The Gruffalo,Jakob Schuh and Max Lang,NO,,,,,,
2010 (83rd),Short Film (Animated),Let's Pollute,Geefwee Boedoe,NO,,,,,,
2010 (83rd),Short Film (Animated),The Lost Thing,Shaun Tan and Andrew Ruhemann,YES,,,,,,
2010 (83rd),Short Film (Animated),"Madagascar, carnet de voyage (Madagascar, a Journey Diary)",Bastien Dubois,NO,,,,,,
2010 (83rd),Short Film (Live Action),The Confession,Tanel Toom,NO,,,,,,
2010 (83rd),Short Film (Live Action),The Crush,Michael Creagh,NO,,,,,,
2010 (83rd),Short Film (Live Action),God of Love,Luke Matheny,YES,,,,,,
2010 (83rd),Short Film (Live Action),Na Wewe,Ivan Goldschmidt,NO,,,,,,
2010 (83rd),Short Film (Live Action),Wish 143,Ian Barnes and Samantha Waite,NO,,,,,,
2010 (83rd),Sound,Inception,"Lora Hirschberg, Gary A. Rizzo and Ed Novick",YES,,,,,,
2010 (83rd),Sound,The King's Speech,"Paul Hamblin, Martin Jensen and John Midgley",NO,,,,,,
2010 (83rd),Sound,Salt,"Jeffrey J. Haboush, Greg P. Russell, Scott Millan and William Sarokin",NO,,,,,,
2010 (83rd),Sound,The Social Network,"Ren Klyce, David Parker, Michael Semanick and Mark Weingarten",NO,,,,,,
2010 (83rd),Sound,True Grit,"Skip Lievsay, Craig Berkey, Greg Orloff and Peter F. Kurland",NO,,,,,,
2010 (83rd),Sound Editing,Inception,Richard King,YES,,,,,,
2010 (83rd),Sound Editing,Toy Story 3,Tom Myers and Michael Silvers,NO,,,,,,
2010 (83rd),Sound Editing,Tron: Legacy,Gwendolyn Yates Whittle and Addison Teague,NO,,,,,,
2010 (83rd),Sound Editing,True Grit,Skip Lievsay and Craig Berkey,NO,,,,,,
2010 (83rd),Sound Editing,Unstoppable,Mark P. Stoeckinger,NO,,,,,,
2010 (83rd),Visual Effects,Alice in Wonderland,"Ken Ralston, David Schaub, Carey Villegas and Sean Phillips",NO,,,,,,
2010 (83rd),Visual Effects,Harry Potter and the Deathly Hallows Part 1,"Tim Burke, John Richardson, Christian Manz and Nicolas Aithadi",NO,,,,,,
2010 (83rd),Visual Effects,Hereafter,"Michael Owens, Bryan Grill, Stephan Trojansky and Joe Farrell",NO,,,,,,
2010 (83rd),Visual Effects,Inception,"Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb",YES,,,,,,
2010 (83rd),Visual Effects,Iron Man 2,"Janek Sirrs, Ben Snow, Ged Wright and Daniel Sudick",NO,,,,,,
2010 (83rd),Writing,127 Hours,Screenplay by Danny Boyle & Simon Beaufoy,NO,,,,,,
2010 (83rd),Writing,The Social Network,Screenplay by Aaron Sorkin,YES,,,,,,
2010 (83rd),Writing,Toy Story 3,"Screenplay by Michael Arndt; Story by John Lasseter, Andrew Stanton and Lee Unkrich",NO,,,,,,
2010 (83rd),Writing,True Grit,Written for the screen by Joel Coen & Ethan Coen,NO,,,,,,
2010 (83rd),Writing,Winter's Bone,Adapted for the screen by Debra Granik & Anne Rosellini,NO,,,,,,
2010 (83rd),Writing,Another Year,Written by Mike Leigh,NO,,,,,,
2010 (83rd),Writing,The Fighter,Screenplay by Scott Silver and Paul Tamasy & Eric Johnson; Story by Keith Dorrington & Paul Tamasy & Eric Johnson,NO,,,,,,
2010 (83rd),Writing,Inception,Written by Christopher Nolan,NO,,,,,,
2010 (83rd),Writing,The Kids Are All Right,Written by Lisa Cholodenko & Stuart Blumberg,NO,,,,,,
2010 (83rd),Writing,The King's Speech,Screenplay by David Seidler,YES,,,,,,
2010 (83rd),Honorary Award,To Kevin Brownlow for the wise and devoted chronicling of the cinematic parade.,,YES,,,,,,
2010 (83rd),Honorary Award,To Jean-Luc Godard for passion. For confrontation. For a new kind of cinema.,,YES,,,,,,
2010 (83rd),Honorary Award,To Eli Wallach for a lifetime's worth of indelible screen characters.,,YES,,,,,,
2010 (83rd),Irving G. Thalberg Memorial Award,Francis Ford Coppola,,YES,,,,,,
2010 (83rd),Scientific and Technical (Scientific and Engineering Award),"To DR. MARK SAGAR for his early and continuing development of influential facial motion retargeting solutions. Dr. Sagar's work led to a method for transforming facial motion capture data into an expression-based, editable character animation system that has been used in motion pictures with a high volume of digital characters. [Digital Imaging Technology]",,YES,,,,,,
2010 (83rd),Scientific and Technical (Scientific and Engineering Award),"To MARK NOEL for the design, engineering, and development, and to JOHN FRAZIER for his contributions to the design and safety features, of the NAC Servo Winch System. The NAC System allows full-size cars, aircraft and other heavy props to be flown on wires with unprecedented freedom of motion and a high degree of safety, on-set and in real time. The intuitive control system responds to the motion of the operator's hand, permitting the recording and playback of all axes of motion simultaneously, which may be edited and refined for playback in subsequent takes. [Stage Operations]",,YES,,,,,,
2010 (83rd),Scientific and Technical (Scientific and Engineering Award),"To JAMES RODNUNSKY, ALEX MacDONALD and MARK CHAPMAN for the development of the Cablecam 3-D volumetric suspended cable camera technologies. The evolution of the Cablecam technology has made it possible to move a camera safely and accurately anywhere through a three-dimensional space. [Camera Cranes]",,YES,,,,,,
2010 (83rd),Scientific and Technical (Scientific and Engineering Award),"To TIM DRNEC, BEN BRITTEN SMITH and MATT DAVIS for the development of the Spydercam 3-D volumetric suspended cable camera technologies. The evolution of the Spydercam technology has made it possible to move a camera safely and accurately anywhere through a three-dimensional space. [Camera Cranes]",,YES,,,,,,
2010 (83rd),Scientific and Technical (Technical Achievement Award),"To GREG ERCOLANO for the design and engineering of a series of software systems culminating in the Rush render queue management system. Mr. Ercolano's work has been influential across the industry, and has enabled scalable render farms at numerous studios. [Digital Imaging Technology]",,YES,,,,,,
2010 (83rd),Scientific and Technical (Technical Achievement Award),"To DAVID M. LAUR for the development of the Alfred render queue management system. This system was the first robust, scalable, widely adopted commercial solution for queue management in the motion picture industry. Its user interface and support for multi-machine assignment influenced the design of modern day queue management tools. [Digital Imaging Technology]",,YES,,,,,,
2010 (83rd),Scientific and Technical (Technical Achievement Award),"To CHRIS ALLEN, GAUTHAM KRISHNAMURTI, MARK A. BROWN and LANCE KIMES for the development of Queue, a robust, scalable approach to render queue management. Queue was one of the first systems that allowed for statistical analysis and process introspection, providing a framework for the efficient use of render farms. [Digital Imaging Technology]",,YES,,,,,,
2010 (83rd),Scientific and Technical (Technical Achievement Award),"To FLORIAN KAINZ for the design and development of the robust, highly scalable distributed architecture of the ObaQ render queue management system. ObaQ has scaled from managing a few hundred processors in 1997 to many thousands today, with minimal changes to the original design. [Digital Imaging Technology]",,YES,,,,,,
2010 (83rd),Scientific and Technical (Technical Achievement Award),"To ERIC TABELLION and ARNAULD LAMORLETTE for the creation of a computer graphics bounce lighting methodology that is practical at feature film scale. This important step in the evolution of global illumination techniques, first used on the motion picture Shrek 2"," was shared with the industry in their technical paper An Approximate Global Illumination System for Computer Generated Films."" [Digital Imaging Technology]""",NO,*,,,,,
2010 (83rd),Scientific and Technical (Technical Achievement Award),"To TONY CLARK, ALAN ROGERS, NEIL WILSON and RORY McGREGOR for the software design and continued development of cineSync, a tool for remote collaboration and review of visual effects. Easy to use, cineSync has become a widely accepted solution for remote production collaboration. [Systems]",,YES,,,,,,
2010 (83rd),Scientific and Technical (Bonner Medal),To Denny Clairmont in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,YES,,,,,,
2009 (82nd),Actor -- Leading Role,Jeff Bridges,Crazy Heart {'Bad Blake'},YES,,,,,,
2009 (82nd),Actor -- Leading Role,George Clooney,Up in the Air {'Ryan Bingham'},NO,,,,,,
2009 (82nd),Actor -- Leading Role,Colin Firth,A Single Man {'George'},NO,,,,,,
2009 (82nd),Actor -- Leading Role,Morgan Freeman,Invictus {'Nelson Mandela'},NO,,,,,,
2009 (82nd),Actor -- Leading Role,Jeremy Renner,The Hurt Locker {'Staff Sergeant William James'},NO,,,,,,
2009 (82nd),Actor -- Supporting Role,Matt Damon,Invictus {'Francois Pienaar'},NO,,,,,,
2009 (82nd),Actor -- Supporting Role,Woody Harrelson,The Messenger {'Captain Tony Stone'},NO,,,,,,
2009 (82nd),Actor -- Supporting Role,Christopher Plummer,The Last Station {'Tolstoy'},NO,,,,,,
2009 (82nd),Actor -- Supporting Role,Stanley Tucci,The Lovely Bones {'George Harvey'},NO,,,,,,
2009 (82nd),Actor -- Supporting Role,Christoph Waltz,Inglourious Basterds {'Col. Hans Landa'},YES,,,,,,
2009 (82nd),Actress -- Leading Role,Sandra Bullock,The Blind Side {'Leigh Anne Tuohy'},YES,,,,,,
2009 (82nd),Actress -- Leading Role,Helen Mirren,The Last Station {'Sofya'},NO,,,,,,
2009 (82nd),Actress -- Leading Role,Carey Mulligan,An Education {'Jenny'},NO,,,,,,
2009 (82nd),Actress -- Leading Role,Gabourey Sidibe,Precious: Based on the Novel 'Push' by Sapphire {'Precious'},NO,,,,,,
2009 (82nd),Actress -- Leading Role,Meryl Streep,Julie & Julia {'Julia Child'},NO,,,,,,
2009 (82nd),Actress -- Supporting Role,Penélope Cruz,Nine {'Carla'},NO,,,,,,
2009 (82nd),Actress -- Supporting Role,Vera Farmiga,Up in the Air {'Alex Goran'},NO,,,,,,
2009 (82nd),Actress -- Supporting Role,Maggie Gyllenhaal,Crazy Heart {'Jean Craddock'},NO,,,,,,
2009 (82nd),Actress -- Supporting Role,Anna Kendrick,Up in the Air {'Natalie Keener'},NO,,,,,,
2009 (82nd),Actress -- Supporting Role,Mo'Nique,Precious: Based on the Novel 'Push' by Sapphire {'Mary'},YES,,,,,,
2009 (82nd),Animated Feature Film,Coraline,Henry Selick,NO,,,,,,
2009 (82nd),Animated Feature Film,Fantastic Mr. Fox,Wes Anderson,NO,,,,,,
2009 (82nd),Animated Feature Film,The Princess and the Frog,John Musker and Ron Clements,NO,,,,,,
2009 (82nd),Animated Feature Film,The Secret of Kells,Tomm Moore,NO,,,,,,
2009 (82nd),Animated Feature Film,Up,Pete Docter,YES,,,,,,
2009 (82nd),Art Direction,Avatar,Production Design: Rick Carter and Robert Stromberg; Set Decoration: Kim Sinclair,YES,,,,,,
2009 (82nd),Art Direction,The Imaginarium of Doctor Parnassus,Production Design: Dave Warren and Anastasia Masaro; Set Decoration: Caroline Smith,NO,,,,,,
2009 (82nd),Art Direction,Nine,Production Design: John Myhre; Set Decoration: Gordon Sim,NO,,,,,,
2009 (82nd),Art Direction,Sherlock Holmes,Production Design: Sarah Greenwood; Set Decoration: Katie Spencer,NO,,,,,,
2009 (82nd),Art Direction,The Young Victoria,Production Design: Patrice Vermette; Set Decoration: Maggie Gray,NO,,,,,,
2009 (82nd),Cinematography,Avatar,Mauro Fiore,YES,,,,,,
2009 (82nd),Cinematography,Harry Potter and the Half-Blood Prince,Bruno Delbonnel,NO,,,,,,
2009 (82nd),Cinematography,The Hurt Locker,Barry Ackroyd,NO,,,,,,
2009 (82nd),Cinematography,Inglourious Basterds,Robert Richardson,NO,,,,,,
2009 (82nd),Cinematography,The White Ribbon,Christian Berger,NO,,,,,,
2009 (82nd),Costume Design,Bright Star,Janet Patterson,NO,,,,,,
2009 (82nd),Costume Design,Coco before Chanel,Catherine Leterrier,NO,,,,,,
2009 (82nd),Costume Design,The Imaginarium of Doctor Parnassus,Monique Prudhomme,NO,,,,,,
2009 (82nd),Costume Design,Nine,Colleen Atwood,NO,,,,,,
2009 (82nd),Costume Design,The Young Victoria,Sandy Powell,YES,,,,,,
2009 (82nd),Directing,Avatar,James Cameron,NO,,,,,,
2009 (82nd),Directing,The Hurt Locker,Kathryn Bigelow,YES,,,,,,
2009 (82nd),Directing,Inglourious Basterds,Quentin Tarantino,NO,,,,,,
2009 (82nd),Directing,Precious: Based on the Novel 'Push' by Sapphire,Lee Daniels,NO,,,,,,
2009 (82nd),Directing,Up in the Air,Jason Reitman,NO,,,,,,
2009 (82nd),Documentary (Feature),Burma VJ,Anders Østergaard and Lise Lense-Møller,NO,,,,,,
2009 (82nd),Documentary (Feature),The Cove,Louie Psihoyos and Fisher Stevens,YES,,,,,,
2009 (82nd),Documentary (Feature),"Food, Inc.",Robert Kenner and Elise Pearlstein,NO,,,,,,
2009 (82nd),Documentary (Feature),The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,Judith Ehrlich and Rick Goldsmith,NO,,,,,,
2009 (82nd),Documentary (Feature),Which Way Home,Rebecca Cammisa,NO,,,,,,
2009 (82nd),Documentary (Short Subject),China's Unnatural Disaster: The Tears of Sichuan Province,Jon Alpert and Matthew O'Neill,NO,,,,,,
2009 (82nd),Documentary (Short Subject),The Last Campaign of Governor Booth Gardner,Daniel Junge and Henry Ansbacher,NO,,,,,,
2009 (82nd),Documentary (Short Subject),The Last Truck: Closing of a GM Plant,Steven Bognar and Julia Reichert,NO,,,,,,
2009 (82nd),Documentary (Short Subject),Music by Prudence,Roger Ross Williams and Elinor Burkett,YES,,,,,,
2009 (82nd),Documentary (Short Subject),Rabbit à la Berlin,Bartek Konopka and Anna Wydra,NO,,,,,,
2009 (82nd),Film Editing,Avatar,"Stephen Rivkin, John Refoua and James Cameron",NO,,,,,,
2009 (82nd),Film Editing,District 9,Julian Clarke,NO,,,,,,
2009 (82nd),Film Editing,The Hurt Locker,Bob Murawski and Chris Innis,YES,,,,,,
2009 (82nd),Film Editing,Inglourious Basterds,Sally Menke,NO,,,,,,
2009 (82nd),Film Editing,Precious: Based on the Novel 'Push' by Sapphire,Joe Klotz,NO,,,,,,
2009 (82nd),Foreign Language Film,Ajami,Israel,NO,,,,,,
2009 (82nd),Foreign Language Film,The Milk of Sorrow,Peru,NO,,,,,,
2009 (82nd),Foreign Language Film,A Prophet,France,NO,,,,,,
2009 (82nd),Foreign Language Film,The Secret in Their Eyes,Argentina,YES,,,,,,
2009 (82nd),Foreign Language Film,The White Ribbon,Germany,NO,,,,,,
2009 (82nd),Makeup,Il Divo,Aldo Signoretti and Vittorio Sodano,NO,,,,,,
2009 (82nd),Makeup,Star Trek,"Barney Burman, Mindy Hall and Joel Harlow",YES,,,,,,
2009 (82nd),Makeup,The Young Victoria,Jon Henry Gordon and Jenny Shircore,NO,,,,,,
2009 (82nd),Music (Scoring),Avatar,James Horner,NO,,,,,,
2009 (82nd),Music (Scoring),Fantastic Mr. Fox,Alexandre Desplat,NO,,,,,,
2009 (82nd),Music (Scoring),The Hurt Locker,Marco Beltrami and Buck Sanders,NO,,,,,,
2009 (82nd),Music (Scoring),Sherlock Holmes,Hans Zimmer,NO,,,,,,
2009 (82nd),Music (Scoring),Up,Michael Giacchino,YES,,,,,,
2009 (82nd),Music (Song),The Princess and the Frog,Music and Lyric by Randy Newman,NO,,,,,,
2009 (82nd),Music (Song),The Princess and the Frog,Music and Lyric by Randy Newman,NO,,,,,,
2009 (82nd),Music (Song),Paris 36,Music by Reinhardt Wagner; Lyric by Frank Thomas,NO,,,,,,
2009 (82nd),Music (Song),Nine,Music and Lyric by Maury Yeston,NO,,,,,,
2009 (82nd),Music (Song),Crazy Heart,Music and Lyric by Ryan Bingham and T Bone Burnett,YES,,,,,,
2009 (82nd),Best Picture,Avatar,"James Cameron and Jon Landau, Producers",NO,,,,,,
2009 (82nd),Best Picture,The Blind Side,"Gil Netter, Andrew A. Kosove and Broderick Johnson, Producers",NO,,,,,,
2009 (82nd),Best Picture,District 9,"Peter Jackson and Carolynne Cunningham, Producers",NO,,,,,,
2009 (82nd),Best Picture,An Education,"Finola Dwyer and Amanda Posey, Producers",NO,,,,,,
2009 (82nd),Best Picture,The Hurt Locker,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers",YES,,,,,,
2009 (82nd),Best Picture,Inglourious Basterds,"Lawrence Bender, Producer",NO,,,,,,
2009 (82nd),Best Picture,Precious: Based on the Novel 'Push' by Sapphire,"Lee Daniels, Sarah Siegel-Magness and Gary Magness, Producers",NO,,,,,,
2009 (82nd),Best Picture,A Serious Man,"Joel Coen and Ethan Coen, Producers",NO,,,,,,
2009 (82nd),Best Picture,Up,"Jonas Rivera, Producer",NO,,,,,,
2009 (82nd),Best Picture,Up in the Air,"Daniel Dubiecki, Ivan Reitman and Jason Reitman, Producers",NO,,,,,,
2009 (82nd),Short Film (Animated),French Roast,Fabrice O. Joubert,NO,,,,,,
2009 (82nd),Short Film (Animated),Granny O'Grimm's Sleeping Beauty,Nicky Phelan and Darragh O'Connell,NO,,,,,,
2009 (82nd),Short Film (Animated),The Lady and the Reaper (La Dama y la Muerte),Javier Recio Gracia,NO,,,,,,
2009 (82nd),Short Film (Animated),Logorama,Nicolas Schmerkin,YES,,,,,,
2009 (82nd),Short Film (Animated),A Matter of Loaf and Death,Nick Park,NO,,,,,,
2009 (82nd),Short Film (Live Action),The Door,Juanita Wilson and James Flynn,NO,,,,,,
2009 (82nd),Short Film (Live Action),Instead of Abracadabra,Patrik Eklund and Mathias Fjellström,NO,,,,,,
2009 (82nd),Short Film (Live Action),Kavi,Gregg Helvey,NO,,,,,,
2009 (82nd),Short Film (Live Action),Miracle Fish,Luke Doolan and Drew Bailey,NO,,,,,,
2009 (82nd),Short Film (Live Action),The New Tenants,Joachim Back and Tivi Magnusson,YES,,,,,,
2009 (82nd),Sound,Avatar,"Christopher Boyes, Gary Summers, Andy Nelson and Tony Johnson",NO,,,,,,
2009 (82nd),Sound,The Hurt Locker,Paul N.J. Ottosson and Ray Beckett,YES,,,,,,
2009 (82nd),Sound,Inglourious Basterds,"Michael Minkler, Tony Lamberti and Mark Ulano",NO,,,,,,
2009 (82nd),Sound,Star Trek,"Anna Behlmer, Andy Nelson and Peter J. Devlin",NO,,,,,,
2009 (82nd),Sound,Transformers: Revenge of the Fallen,"Greg P. Russell, Gary Summers and Geoffrey Patterson",NO,,,,,,
2009 (82nd),Sound Editing,Avatar,Christopher Boyes and Gwendolyn Yates Whittle,NO,,,,,,
2009 (82nd),Sound Editing,The Hurt Locker,Paul N.J. Ottosson,YES,,,,,,
2009 (82nd),Sound Editing,Inglourious Basterds,Wylie Stateman,NO,,,,,,
2009 (82nd),Sound Editing,Star Trek,Mark Stoeckinger and Alan Rankin,NO,,,,,,
2009 (82nd),Sound Editing,Up,Michael Silvers and Tom Myers,NO,,,,,,
2009 (82nd),Visual Effects,Avatar,"Joe Letteri, Stephen Rosenbaum, Richard Baneham and Andrew R. Jones",YES,,,,,,
2009 (82nd),Visual Effects,District 9,"Dan Kaufman, Peter Muyzers, Robert Habros and Matt Aitken",NO,,,,,,
2009 (82nd),Visual Effects,Star Trek,"Roger Guyett, Russell Earl, Paul Kavanagh and Burt Dalton",NO,,,,,,
2009 (82nd),Writing,District 9,Written by Neill Blomkamp and Terri Tatchell,NO,,,,,,
2009 (82nd),Writing,An Education,Screenplay by Nick Hornby,NO,,,,,,
2009 (82nd),Writing,In the Loop,"Screenplay by Jesse Armstrong, Simon Blackwell, Armando Iannucci, Tony Roche",NO,,,,,,
2009 (82nd),Writing,Precious: Based on the Novel 'Push' by Sapphire,Screenplay by Geoffrey Fletcher,YES,,,,,,
2009 (82nd),Writing,Up in the Air,Screenplay by Jason Reitman and Sheldon Turner,NO,,,,,,
2009 (82nd),Writing,The Hurt Locker,Written by Mark Boal,YES,,,,,,
2009 (82nd),Writing,Inglourious Basterds,Written by Quentin Tarantino,NO,,,,,,
2009 (82nd),Writing,The Messenger,Written by Alessandro Camon & Oren Moverman,NO,,,,,,
