Year,exclude,Film,Lead Studio,Critic Rating,Audience Rating,Story,Genre,Opening Weekend Theaters,Opening Weekend per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profitability,Opening Weekend Revenue,Oscar
2011,,Rise of the Planet of the Apes,20th Century Fox,83,87,Revenge,Action,3648,15024,176.70,304.52,481.23,93,5.1745,54.81,
2011,,Green Lantern,Warner Bros,27,48,Metamorphosis,Action,3816,13935,116.60,103.25,219.85,200,1.0993,53.17,
2011,,Kung Fu Panda 2,DreamWorks Animation,82,80,Rivalry,Animation,3925,12142,165.25,497.78,663.02,150,4.4202,47.66,
2011,,Super 8,Paramount,82,78,Monster Force,Horror,3379,10492,127.00,132.71,259.71,50,5.1943,35.45,
2011,,Hop,Relativity Media,26,50,Fish Out Of Water,Animation,3579,10490,108.09,75.87,183.95,63,2.9199,37.54,
2011,,The Smurfs,Sony Pictures Animation,23,50,Fish Out Of Water,Animation,3395,10489,142.61,419.54,562.16,110,5.1105,35.61,
2011,,Battle: Los Angeles,Relativity Media,35,50,Monster Force,Action,3417,10411,83.55,128.27,211.82,70,3.0260,35.57,
2011,,Bad Teacher,Independant,44,38,Comedy,Comedy,3049,10365,100.29,115.90,216.20,20,10.8098,31.60,
2011,,Immortals,Relativity Media,36,59,Revenge,Action,3112,10349,80.49,102.00,182.49,75,2.4331,32.21,
2011,,The Help,DreamWorks Pictures,75,91,Maturation,Drama,2534,10278,169.22,30.10,199.32,25,7.9730,26.04,
2011,,Rio,20th Century Fox,71,73,Quest,Animation,3826,10252,143.62,341.02,484.63,90,5.3848,39.23,
2011,,Rango,Paramount,88,69,Fish Out Of Water,Animation,3917,9722,123.26,121.90,245.15,135,1.8160,38.08,
2011,,Cowboys and Aliens,Universal,44,50,Monster Force,Action,3750,9715,100.24,74.58,174.82,163,1.0725,36.43,
2011,,The Green Hornet,Columbia,44,47,Rivalry,Action,3584,9335,98.80,129.00,227.80,120,1.8983,33.50,
2011,,Horrible Bosses,Warner Bros,69,72,Revenge,Comedy,3040,9310,117.54,92.10,209.64,35,5.9897,28.30,
2011,,Bridesmaids,Relativity Media,90,77,Rivalry,Comedy,2918,8995,169.11,119.28,288.38,32.5,8.8733,26.25,
2011,,Puss In Boots,DreamWorks,83,76,Quest,Animation,3952,8623,142.09,142.30,284.39,130,2.1876,34.08,
2011,,Just Go With It,Happy Madison,19,63,Comedy,Romance,3548,8601,103.03,111.92,214.95,80,2.6868,30.51,
2011,,The Muppets,Disney,97,87,Quest,Comedy,3440,8500,66.63,5.80,72.43,45,1.6095,29.24,
2011,,Gnomeo and Juliet,Disney,56,52,Love,Animation,2994,8469,99.97,94.00,193.97,36,5.3880,25.36,
2011,,Real Steel,DreamWorks Pictures,58,81,Underdog,Action,3440,7942,83.61,186.20,269.81,110,2.4528,27.32,
2011,,Diary of a Wimpy Kid 2: Rodrick Rules,20th Century Fox,47,63,Comedy,Comedy,3167,7500,52.70,19.72,72.42,21,3.4484,23.75,
2011,,The Adjustment Bureau,Independant,72,67,Sacrifice,Thriller,2840,7450,62.50,65.37,127.87,50.2,2.5472,21.16,
2011,,Jack and Jill,Happy Madison,4,59,Comedy,Comedy,3438,7273,68.91,15.00,83.91,79,1.0622,25.00,
2011,,Unknown,Independant,55,57,The Riddle,Thriller,3043,7183,63.69,67.10,130.79,30,4.3595,21.86,
2011,,My Week with Marilyn,The Weinstein Company,83,84,Love,Drama,247,7174,5.31,2.95,8.26,10,0.8258,1.75,
2011,,Tower Heist,Relativity,68,61,Revenge,Comedy,3367,7135,74.50,47.00,121.50,75,1.6201,24.03,
2011,,Contagion,Warner Bros,84,63,The Riddle,Thriller,3222,6935,75.64,59.80,135.44,60,2.2574,22.40,
2011,,Limitless,Virgin,69,73,Wretched Excess,Thriller,2756,6860,79.25,82.60,161.85,27,5.9944,18.91,
2011,,Moneyball,Columbia,95,89,Underdog,Drama,2993,6516,74.21,27.90,102.11,50,2.0422,19.50,
2011,,No Strings Attached,Spyglass Entertainment,49,57,Comedy,Comedy,3018,6512,70.60,77.10,147.70,25,5.9080,19.70,
2011,,Friends With Benefits,Warner Bros,71,68,Temptation,Romance,2926,6364,55.80,93.74,149.54,35,4.2726,18.62,
2011,,"Crazy, Stupid, Love",Warner Bros,78,81,Discovery,Romance,3020,6326,84.34,58.50,142.84,50,2.8568,19.10,
2011,,Sucker Punch,Legendary Pictures,23,48,Quest,Action,3033,6284,36.39,53.40,89.79,82,1.0950,19.06,
2011,,I Am Number Four,Paramount,32,57,Maturation,Thriller,3154,6167,55.10,89.40,144.50,60,2.4083,19.45,
2011,,The Company Men,Weinstein Company,66,55,Discovery,Drama,106,6111,4.40,0.40,4.80,15,0.3200,0.60,
2011,,The Dilemma,Spyglass Entertainment,23,31,Comedy,Comedy,2940,6060,48.50,21.20,69.70,70,0.9957,17.80,
2011,,Water For Elephants,20th Century Fox,60,72,Love,Drama,2817,5979,58.71,58.39,117.09,38,3.0814,16.84,
2011,,The Roommate,Independant,4,29,Monster Force,Horror,2534,5921,37.30,3.19,40.49,16,2.5308,15.00,
2011,,Happy Feet 2,Village Roadshow Pictures,41,59,Journey and Return,Animation,3606,5889,57.31,49.20,106.51,135,0.7889,21.24,
2011,,Zookeeper,Happy Madison Productions,14,42,Comedy,Comedy,3482,5763,80.36,89.94,170.30,80,2.1288,20.07,
2011,,Final Destination 5,New Line Cinema,61,56,Monster Force,Horror,3155,5715,42.59,115.30,157.89,40,3.9472,18.03,
2011,,Scream 4,Weinstein Company,58,57,Monster Force,Horror,3305,5656,38.18,58.96,97.14,40,2.4284,18.69,
2011,,Mr. Popper's Penguins,20th Century Fox,47,54,Discovery,Comedy,3339,5524,68.22,119.14,187.36,55,3.4065,18.45,
2011,,Insidious,Sony,67,65,Monster Force,Horror,2408,5511,54.01,43.00,97.01,1.5,64.6727,13.27,
2011,,Dolphin Tale,Independant,84,81,Quest,Drama,3507,5461,71.08,16.86,87.95,37,2.3769,19.15,
2011,,The Debt,Universal,76,70,Pursuit,Thriller,1826,5427,31.18,14.25,45.43,20,2.2715,9.91,
2011,,Beastly,CBS Films,19,50,Metamorphosis,Romance,1952,5047,27.87,0.97,28.83,17,1.6961,9.85,
2011,,Source Code,Summit Entertainment,92,81,The Riddle,Thriller,2961,5002,54.71,68.57,123.28,32,3.8524,14.81,
2011,,The Conspirator,Independant,56,65,Underdog,Drama,707,4960,11.54,2.67,14.21,25,0.5684,3.51,
2011,,The Rite,Warner Bros,20,43,Monster Force,Horror,2985,4955,33.00,63.00,96.00,37,2.5946,14.80,
2011,,The Beaver,Summit Entertainment,62,57,Transformation,Drama,22,4890,0.97,5.40,6.37,21,0.3033,0.11,
2011,,Hanna,Universal,71,67,Quest,Action,2535,4880,40.26,23.52,63.78,30,2.1260,12.37,
2011,,The Lincoln Lawyer,Lionsgate,84,82,Fish Out Of Water,Drama,2707,4879,58.01,17.00,75.01,40,1.8752,13.21,
2011,,Soul Surfer,Sony,46,79,Underdog,Drama,2214,4789,43.85,0.41,44.27,18,2.4593,10.60,
2011,,The Ides of March,Columbia,85,76,Transformation,Thriller,2199,4761,40.49,13.70,54.19,12.5,4.3355,10.47,
2011,,Footloose,Spyglass Entertainment,71,71,Transformation,Drama,2199,4761,51.16,10.90,62.05,24,2.5855,15.56,
2011,,Paul,Relativity,72,70,Comedy,Comedy,2802,4655,37.41,60.57,97.98,40,2.4496,13.04,
2011,,The Change Up,Relativity Media,24,53,Metamorphosis,Comedy,2913,4645,37.08,33.75,70.83,52,1.3622,13.53,
2011,,Red Riding Hood,Warner Bros,11,41,Monster Force,Horror,3030,4622,37.66,51.50,89.16,42,2.1229,14.01,
2011,,30 Minutes or Less,Independant,43,48,Comedy,Comedy,2888,4616,37.05,3.49,40.55,28,1.4481,13.33,
2011,,Hall Pass,Warner Bros,35,44,Temptation,Comedy,2950,4588,45.06,38.10,83.16,36,2.3100,13.54,
2011,,Larry Crowne,Universal,34,46,Discovery,Drama,2973,4405,35.61,16.80,52.41,30,1.7469,13.10,
2011,,The Mechanic,Independant,53,52,Revenge,Action,2703,4226,29.20,22.00,51.20,40,1.2800,11.40,
2011,,Colombiana,Sony,28,55,Revenge,Action,2614,3982,36.67,24.30,60.97,40,1.5241,10.41,
2011,,Drive,Independant,93,79,Rivalry,Thriller,2886,3929,34.68,32.33,67.01,15,4.4671,11.34,
2011,,In Time,Regency Enterprises,38,55,The Riddle,Thriller,3122,3860,36.49,90.90,127.39,40,3.1848,12.05,
2011,,Anonymous,Relativity Media,46,66,Tragedy,Drama,265,3856,4.46,9.73,14.19,30,0.4730,1.02,
2011,,The Eagle,Universal,39,43,Quest,Action,2296,3782,19.49,7.63,27.12,25,1.0848,8.68,
2011,,Season Of The Witch,Relativity,10,32,Monster Force,Action,2816,3769,24.80,66.80,91.60,40,2.2900,12.00,
2011,,Arthur,Warner Bros,26,49,Sacrifice,Comedy,3276,3731,33.04,12.70,45.74,40,1.1434,12.22,
2011,,Arthur Christmas,Aardman Animations,92,82,Journey and Return,Animation,3376,3537,33.70,57.50,91.20,150,0.6080,12.07,
2011,,Spy Kids: All The Time in the World,Weinstein Company,22,40,Quest,Action,3295,3534,38.54,35.54,74.08,27,2.7437,11.64,
2011,,50/50,Independant,93,93,Discovery,Comedy,2458,3517,34.90,1.62,36.51,8,4.5639,8.64,
2011,,Abduction,Vertigo Entertainment,4,46,Maturation,Action,3118,3504,28.07,54.00,82.07,35,2.3448,10.93,
2011,,Sanctum,Relativity Media,30,39,Quest,Action,2787,3390,23.20,85.40,108.60,30,3.6200,9.40,
2011,,Your Highness,Universal,26,36,Comedy,Comedy,2769,3380,21.60,3.26,24.86,49.9,0.4981,9.36,
2011,,Conan the Barbarian,Lionsgate,22,34,Quest,Action,3015,3324,21.30,27.50,48.80,90,0.5422,10.02,
2011,,Winnie The Pooh,Disney,91,79,Quest,Animation,2405,3267,26.69,6.46,33.15,30,1.1051,7.86,
2011,,Killer Elite,Independant,25,48,Rivalry,Action,2986,3132,25.12,27.84,52.96,70,0.7566,9.35,
2011,,Don't Be Afraid Of The Dark,Miramax Films,59,37,Monster Force,Horror,2760,3089,24.05,7.50,31.55,25,1.2618,8.53,
2011,,Dream House,Morgan Creek Productions,7,38,The Riddle,Horror,2661,3055,21.30,17.20,38.50,50,0.7700,8.13,
2011,,Monte Carlo,20th Century Fox,38,50,Love,Romance,2473,3014,23.18,16.48,39.66,20,1.9832,7.45,
2011,,Shark Night 3D,Relativity,16,25,Escape,Horror,2806,2995,18.88,19.83,38.70,25,1.5481,8.40,
2011,,One Day,Independant,37,54,Love,Romance,1719,2955,13.84,41.40,55.24,15,3.6827,5.08,
2011,,The Three Musketeers,Independant,24,48,Rivalry,Action,3017,2875,20.25,111.90,132.15,75,1.7620,8.67,
2011,,The Thing,Universal,36,52,Monster Force,Horror,2996,2835,16.93,10.50,27.43,38,0.7218,8.49,
2011,,Warrior,Lionsgate,83,93,Rivalry,Action,1869,2805,13.66,9.40,23.06,25,0.9223,5.24,
2011,,Apollo 18,Weinstein Company,23,31,Monster Force,Horror,3328,2615,17.69,7.88,25.56,5,5.1124,8.70,
2011,,Fright Night,DreamWorks,75,68,Rivalry,Horror,3114,2477,18.30,18.80,37.10,30,1.2367,7.71,
2011,,Johnny English Reborn,Relativity Media,38,55,Comedy,Comedy,1552,2470,8.31,149.63,157.94,45,3.5098,3.83,
2011,,Drive Angry,Independant,45,38,Rescue,Action,2990,2265,10.72,18.21,28.93,45,0.6429,5.19,
2011,,The Rum Diary,Independant,50,48,Discovery,Drama,2273,2259,13.07,8.48,21.55,45,0.4789,5.14,
2011,,Priest,Sony,17,37,Monster Force,Action,2864,2221,29.14,49.17,78.31,60,1.3051,14.95,
2011,,Mars Needs Moms,Disney,36,43,Rescue,Animation,3117,2218,21.39,17.60,38.99,150,0.2599,6.91,
2011,,What's Your Number,20th Century Fox,24,50,Transformation,Comedy,3002,1806,14.01,16.42,30.43,20,1.5213,5.42,
2011,,The Big Year,Independant,38,62,Transformation,Comedy,2150,1513,7.17,0.24,7.41,41,0.1807,3.25,
2011,,A Dangerous Method,Independant,79,89,Love,Drama,,,0.54,8.44,8.97,20,0.4486,0.17,
2011,,Beginners,Independant,84,80,Love,Comedy,,,5.79,8.39,14.18,3.2,4.4319,0.14,
2011,,Another Earth,Independant,63,74,Temptation,Fantasy,,,1.32,,1.32,0.2,6.6050,0.08,
2011,,Margin Call,Independant,86,73,Sacrifice,Thriller,,,4.94,3.93,8.87,3.5,2.5340,0.56,
2011,,Machine Gun Preacher,Lionsgate,29,71,Transformation,Action,,,0.54,0.57,1.10,30,0.0368,0.05,
2011,,Vanishing on 7th Street,Independant,52,62,Monster Force,Horror,,,0.02,1.05,1.07,10,0.1067,0.00,
2011,,Cedar Rapids,20th Century Fox,86,61,Maturation,Comedy,,,6.86,,6.86,10,0.6861,0.30,
2011,,Everything Must Go,Reliance Entertainment,74,53,Discovery,Drama,,,2.71,,2.71,5,0.5422,0.79,
2011,,Dylan Dog: Dead of Night,Independant,6,28,Monster Force,Horror,,,1.19,3.45,4.63,20,0.2317,0.75,
2011,,Trespass,Independant,11,24,Escape,Thriller,,,0.02,3.10,3.12,35,0.0893,0.02,
2010,,Average,,49.19,57.13,,,2619.11,8202.26,66.95,84.62,152.21,54.66,3.63,20.98,
2010,,127 Hours,Independent,93,84,Escape,Adventure,916,2333,18.33,42.4,60.73,18,3.3739,0.26,
2010,,A Nightmare on Elm Street,Warner Bros.,13,40,Monster Force,Horror,3332,9875,63.08,52.59,115.66,35,3.3046,32.9,
2010,,Alice in Wonderland,Disney,52,72,Journey and Return,Adventure,3728,31143,334.19,690.2,1024.39,200,5.1220,116.1,
2010,,All About Steve,Independent,6,35,Comedy,Comedy,2251,4994,33.860000000000000,6.26,40.13,15,2.6753,11.2,
2010,,Alpha and Omega,Crest,17,41,Journey and Return,Animation,2625,3469,25.12,4.8,29.91,20,1.4955,9.1,
2010,,Black Swan       ,Fox,88,86,Wretched Excess,Drama,959,8742,106.95,222.44,329.39,13,25.3377,8.38,Best Actress
2010,,Brooklyn's Finest,Independent,42,47,Temptation,Action,1936,6896,27.2,9.15,36.31,17,2.1359,13.4,
2010,,Buried,Independent,86,63,Escape,Drama,11,9115,1.04,17.33,18.38,2,9.1900,0.103,
2010,,Burlesque,Paramount,36,66,Rags to Riches,Drama,3037,3934,38.24,17.84,56.08,55,1.0196,11.95,
2010,,Case 39,Independent,23,42,Monster Force,Horror,2211,2420,13.26,14.93,28.19,26,1.0842,5.4,
2010,,Cats & Dogs: The Revenge of Kitty Galore,Independent,13,43,Pursuit,Action,3705,3314,43.59,68.9,112.48,85,1.3233,12.3,
2010,,Charlie St. Cloud,Universal,27,62,Discovery,Fantasy,2718,4555,31.16,14.93,46.09,44,1.0475,12.4,
2010,,City Island,Independent,81,77,Transformation,Comedy,2,,6.67,1.19,7.86,6,1.3100,0.032,
2010,,Clash of the Titans,Warner Bros.,28,48,Quest,Action,3777,16213,163.21,330,493.21,125,3.9457,61.2,
2010,,Cyrus,Independent,80,51,Rivalry,Comedy,4,45429,7.47,2.45,9.92,7,1.4171,0.18,
2010,,Date Night,Fox,66,58,Pursuit,Comedy,3374,7471,98.71,53.55,152.26,55,2.7684,25.2,
2010,,Daybreakers,Lionsgate,67,50,Discovery,Action,2523,6003,30.1,21.31,51.42,20,2.5710,15.1,
2010,,Dear John,Sony,29,66,Love,Drama,2969,10262,80.01,34.96,114.98,25,4.5992,30.4,
2010,,Death at a Funeral,Independent,40,48,Comedy,Comedy,2459,6595,42.74,6.31,49.05,21,2.3357,16.2,
2010,,Despicable Me,Universal,81,81,Maturation,Animation,3476,16225,251.38,290.5,541.88,69,7.8533,56.4,
2010,,Devil,Independent,52,45,Monster Force,Horror,2809,4375,33.6,23.23,56.83,10,5.6830,12.3,
2010,,Diary of a Wimpy Kid,Independent,53,49,Underdog,Comedy,3077,7191,64,11.7,75.7,15,5.0467,22.1,
2010,,Dinner for Schmucks,Paramount,43,47,Comedy,Comedy,2911,8082,73.03,13.38,86.41,69,1.2523,23.5,
2010,,Due Date,Warner Bros.,40,56,Comedy,Comedy,3355,9743,99.65,100.9,200.55,50,4.0110,32.69,
2010,,Easy A,Sony,85,75,Maturation,Comedy,2856,6209,58.4,15.24,73.64,8,9.2050,17.7,
2010,,Eat Pray Love,Sony,36,46,Journey and Return,Drama,3082,7497,80.57,123.91,204.48,60,3.4080,23.1,
2010,,Edge of Darkness,Warner Bros.,55,56,Revenge,Crime,3066,5615,43.31,37.81,81.12,80,1.0140,17.2,
2010,,Extraordinary Measures,CBS,27,55,Underdog,Drama,2549,2359,12.07,3.07,15.13,31,0.4881,6,
2010,,Faster,CBS,41,50,Revenge,Action,2454,3873,22.94,1.97,24.91,24,1.0379,8.52,
2010,,From Paris with Love,Independent,38,57,Pursuit,Action,2722,2997,24.08,28.72,52.8,52,1.0154,8.2,
2010,,Furry Vengeance,Summit,8,36,Comedy,Comedy,2997,2211,17.63,18.34,35.97,35,1.0277,6.6,
2010,,Get Him to the Greek,Universal,73,63,Comedy,Comedy,2697,6515,60.97,30.42,91.39,40,2.2848,17.6,
2010,,Going the Distance,Warner Bros.,53,56,Love,Comedy,3030,2272,17.8,24.25,42.05,32,1.3141,6.9,
2010,,Green Zone,Universal,53,60,Quest,Action,3003,4765,35.05,59.82,94.88,100,0.9488,14.3,
2010,,Grown Ups,Independent,10,59,Comedy,Comedy,3534,11462,161.9,105.5,267.4,80,3.3425,40.5,
2010,,Gulliver's Travels,Fox,21,31,Journey and Return,Comedy,2546,2477,42,194,237.38,112,2.1195,6.3,
2010,,Harry Potter and the Deathly Hallows Part 1,Warner Bros.,79,87,Quest,Adventure,4125,30307,295,660,955.41,125,7.6433,125,
2010,,Hot Tub Time Machine,MGM,64,57,Journey and Return,Adventure,2754,5091,50.29,14.13,64.42,36,1.7894,14,
2010,,How to Train Your Dragon,Paramount,98,90,Underdog,Animation,4055,10785,217.58,277.3,494.88,165,2.9993,43.7,
2010,,I Love You Phillip Morris,Independent,71,57,Love,Comedy,100,,1.44,18.66,20.1,15,1.3400,0.11,
2010,,Inception,Warner Bros.,86,93,Journey and Return,Action,3792,16557,292.58,531,823.58,160,5.1474,62.8,
2010,,Iron Man 2,Paramount,74,80,Rivalry,Action,4380,29252,312.43,309.62,622.1,200,3.1105,128.1,
2010,,Jackass 3-D,Paramount,63,72,Comedy,Documentary,3081,16343,117.19,52.76,169.95,20,8.4975,50.4,
2010,,Jonah Hex,Warner Bros.,13,24,Revenge,Action,2825,1904,10.55,0.36,10.9,47,0.2319,5.4,
2010,,Kick-Ass,Independent,76,83,Rivalry,Action,3065,6469,48.07,48.06,96.13,30,3.2043,19.8,
2010,,Killers,Lionsgate,11,45,Love,Action,2859,5539,47.06,46.34,93.4,75,1.2453,15.8,
2010,,Knight and Day,Fox,53,52,Pursuit,Action,3098,6501,76.42,185.26,261.68,117,2.2366,20.2,
2010,,Leap Year,Universal,21,49,Love,Comedy,2511,3665,25.9,6.69,32.61,19,1.7163,9.2,
2010,,Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros.,51,65,Rivalry,Animation,3575,4507,55.64,84.26,139.9,80,1.7488,16.1,
2010,,Legion,Independent,19,36,Monster Force,Action,2476,7069,40.17,27.74,67.91,26,2.6119,17.5,
2010,,Letters to Juliet,Summit,40,62,Love,Comedy,2968,4562,53.03,26.15,79.18,30,2.6393,13.5,
2010,,Life as We Know It,Independent,28,62,Love,Comedy,3150,4605,53.13,43.03,96.16,38,2.5305,14.5,
2010,,Little Fockers,Independent,9,40,Comedy,Comedy,3536,8720,123.69,109.01,232.7,100,2.3270,30.83,
2010,,Love & Other Drugs,Fox,48,55,Love,Comedy,2455,3967,31.68,22.85,54.53,30,1.8177,9.74,
2010,,MacGruber,Independent,47,33,Comedy,Action,2551,1585,8.53,0.8,9.32,10,0.9320,4,
2010,,Machete,Independent,73,66,Revenge,Action,2670,4276,26.59,15.55,42.15,20,2.1075,11,
2010,,Marmaduke,Fox,9,46,Rivalry,Comedy,3213,3610,33.64,49.71,83.36,50,1.6672,11.6,
2010,,Megamind,Paramount,72,73,Transformation,Animation,3944,9743,144.67,173.46,321.88,130,2.4760,46.02,
2010,,Mother and Child,Independent,79,61,Transformation,Drama,4,,1.11,3.76,4.87,7,0.6957,0.43,
2010,,Nanny McPhee Returns,Universal,77,54,Comedy,Comedy,2784,3020,29.01,64.23,93.25,35,2.6643,8.4,
2010,,Paranormal Activity 2,Paramount,,,Monster Force,Horror,3216,12649,84.75,92.75,177.51,3,59.1700,40.67,
2010,,Percy Jackson & the Olympians: The Lightning Thief,Fox,50,57,Rivalry,Action,3356,9308,88.77,137.73,226.5,95,2.3842,31.2,
2010,,Piranha 3-D,The Weinstein Company,74,45,Monster Force,Comedy,2470,4092,25,54.78,79.78,24,3.3242,10.1,
2010,,Predators,Fox,64,52,Monster Force,Action,2669,9277,52,74.74,126.74,40,3.1685,24.8,
2010,,Prince of Persia: The Sands of Time,Disney,36,71,Rivalry,Action,3646,3646,90.76,244.39,335.15,200,1.6758,30,
2010,,Red,Summit,71,72,Rivalry,Action,3255,6686,89.84,74.58,164.42,58,2.8348,21.8,
2010,,Remember Me,Summit,28,70,Love,Drama,2212,3657,19.07,36.79,55.85,16,3.4906,8,
2010,,Repo Men,Universal,22,43,Rescue,Action,2521,2430,13.79,4.62,18.41,32,0.5753,6.1,
2010,,Resident Evil: Afterlife,Highlight Communications,24,53,Monster Force,Action,3203,8320,60.13,236.09,296.22,60,4.9370,26.7,
2010,,Robin Hood,Universal,42,59,Rivalry,Action,3503,10295,105.27,216.4,321.67,200,1.6084,36,
2010,,Salt,Sony,62,62,Revenge,Action,3612,9970,118.31,175.19,293.5,110,2.6682,36,
2010,,Saw 3-D,Independent,10,47,Escape,Crime,2808,8024,45.71,76.8,122.51,20,6.1255,22.53,
2010,,Scott Pilgrim vs. the World,Universal,81,83,Underdog,Action,2818,3765,31.52,16.05,47.58,60,0.7930,10.6,
2010,,Sex and the City 2,Warner Bros.,15,49,Love,Comedy,3445,3445,95.35,193,288.35,100,2.8835,31,
2010,,She's Out of My League,Paramount,57,60,Love,Comedy,2956,3307,32.01,16.8,48.81,20,2.4405,9.8,
2010,,Shrek Forever After,Paramount,57,64,Journey and Return,Animation,4359,16251,238.74,510.06,748.8,165,4.5382,70.8,
2010,,Shutter Island,Paramount,68,73,The Riddle,Drama,2991,13729,128.01,166.79,294.8,80,3.6850,41,
2010,,Skyline,Independent,16,19,Monster Force,Action,2880,4060,21.39,33.87,55.26,10,5.5260,11.69,
2010,,Solitary Man,Independent,81,47,Wretched Excess,Comedy,4,23734,4.36,0.7,5.06,15,0.3373,0.09,
2010,,Step Up 3D,Summit,46,67,Transformation,Drama,2435,6494,42.4,116.75,159.15,30,5.3050,15.8,
2010,,Stone,Independent,49,20,Rivalry,Drama,6,12628,1.81,6.59,8.4,22,0.3818,0.075,
2010,,Takers,Sony,27,57,Rivalry,Action,2206,9298,57.74,10.42,68.16,32,2.1300,20.5,
2010,,Tangled,Disney,89,88,Love,Animation,3603,13535,175.78,179.3,355.08,260,1.3657,48.77,
2010,,The A-Team,Fox,47,71,Pursuit,Action,3535,7262,77.22,99.81,177.03,100,1.7703,25.7,
2010,,The American,Universal,66,37,Rivalry,Crime,2823,4668,35.61,10.39,46,20,2.3000,13.1,
2010,,The Back-up Plan,CBS,20,47,Love,Comedy,3280,3720,37.49,39.6,77.1,35,2.2029,12.2,
2010,,The Book of Eli       ,Independent,48,68,Quest,Action,3111,10540,94.84,58.62,153.45,80,1.9181,32.7,
2010,,The Bounty Hunter,Sony,7,41,Rivalry,Action,3074,6729,67.06,69.26,136.32,40,3.4080,20.7,
2010,,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,49,63,Quest,Adventure,3555,6752,104,311,415.68,155,2.6818,24,
2010,,The Crazies,Liberty Starz,72,54,Monster Force,Horror,2476,6489,39.12,15.47,54.59,20,2.7295,16.07,
2010,,The Expendables,Independent,40,58,Pursuit,Action,3270,10650,103.07,171.4,274.47,82,3.3472,34.8,
2010,,The Fighter,Paramount,91,88,Underdog,Drama,2503,4848,93,35,129.19,25,5.1676,12,"Sup. Actor, Sup. Actress"
2010,,The Ghost Writer,Independent,83,68,The Riddle,Mystery,4,,15.54,44.48,60.02,45,1.3338,2,
2010,,The Greatest,Independent,52,39,Discovery,Drama,,,0.11,0.3,0.41,6,0.0683,0.3,
2010,,The Joneses,Independent,61,47,Temptation,Comedy,,,1.48,0.49,6.41,10,0.6410,0.51,
2010,,The Karate Kid,Sony,66,75,Underdog,Action,3663,15197,176.59,182.53,359.13,40,8.9783,55.7,
2010,,The Kids Are All Right,Independent,94,72,Comedy,Comedy,847,4162,20.81,8.55,29.37,4,7.3425,3.5,
2010,,The Killer Inside Me,Independent,56,41,The Riddle,Crime,,,0.22,3.36,3.58,13,0.2754,11.1,
2010,,The King's Speech,Independent,95,93,Maturation,Biography,700,6406,,,245.2,15,16.3467,4.4,"Best Picture, Director,  Actor, Orig. Screenplay"
2010,,The Last Airbender,Paramount,6,42,Quest,Action,3169,12725,131.77,187.35,319.12,150,2.1275,40.3,
2010,,The Last Exorcism,Independent,73,32,Monster Force,Drama,2874,7087,41.03,25.42,66.46,1.8,36.9222,20.4,
2010,,The Last Song,Disney,19,66,Discovery,Drama,2673,5989,62.95,26.09,89.04,20,4.4520,16,
2010,,The Losers,Warner Bros.,47,55,Revenge,Action,2936,3204,23.59,5.79,29.38,25,1.1752,9.4,
2010,,The Next Three Days,Lionsgate,51,66,Rescue,Crime,2564,2552,21.15,20.6,41.75,30,1.3917,6.54,
2010,,The Other Guys,Sony,78,57,Comedy,Action,3651,9735,119.22,51.05,170.27,100,1.7027,35.5,
